size,kw.statistic,kw.pvalue,comparison,dunn.z,dunn.p.unadj,dunn.p.adj,mean_diff
300,146389.815016349,< 2.2e-16,3 - 4,112.609719993998,0,0,0.069
300,146389.815016349,< 2.2e-16,3 - 5,117.363274043158,0,0,0.176
300,146389.815016349,< 2.2e-16,3 - 6,15.9457515503683,3.04949293732341e-57,9.14847881197022e-57,0.25
300,146389.815016349,< 2.2e-16,4 - 5,77.7848159119195,0,0,0.108
300,146389.815016349,< 2.2e-16,4 - 6,12.0407164188207,2.17062329544809e-33,4.34124659089618e-33,0.182
300,146389.815016349,< 2.2e-16,5 - 6,4.97077878736268,6.66844992416426e-07,6.66844992416426e-07,0.074
400,150782.373508927,< 2.2e-16,1 - 2,42.6436875467444,0,0,0.03
400,150782.373508927,< 2.2e-16,1 - 3,152.244158056126,0,0,0.103
400,150782.373508927,< 2.2e-16,1 - 4,341.36195864098,0,0,0.171
400,150782.373508927,< 2.2e-16,1 - 5,185.989458590014,0,0,0.286
400,150782.373508927,< 2.2e-16,1 - 6,22.1588584215491,8.56956381256404e-109,4.28478190628202e-108,0.363
400,150782.373508927,< 2.2e-16,2 - 3,98.6499083865557,0,0,0.073
400,150782.373508927,< 2.2e-16,2 - 4,237.982768378678,0,0,0.141
400,150782.373508927,< 2.2e-16,2 - 5,166.743293530018,0,0,0.256
400,150782.373508927,< 2.2e-16,2 - 6,20.7234744780184,2.12763935205658e-95,8.51055740822632e-95,0.332
400,150782.373508927,< 2.2e-16,3 - 4,112.812973066404,0,0,0.068
400,150782.373508927,< 2.2e-16,3 - 5,123.473889182833,0,0,0.183
400,150782.373508927,< 2.2e-16,3 - 6,16.7864551459742,3.06620654834786e-63,9.19861964504358e-63,0.26
400,150782.373508927,< 2.2e-16,4 - 5,84.0020888736268,0,0,0.115
400,150782.373508927,< 2.2e-16,4 - 6,12.8745761423128,6.25816880154965e-38,1.25163376030993e-37,0.191
400,150782.373508927,< 2.2e-16,5 - 6,5.2400249047467,1.60554927586259e-07,1.60554927586259e-07,0.077
500,149716.231507494,< 2.2e-16,1 - 2,41.3802235905801,0,0,0.03
500,149716.231507494,< 2.2e-16,1 - 3,150.886804648282,0,0,0.103
500,149716.231507494,< 2.2e-16,1 - 4,338.127981724056,0,0,0.17
500,149716.231507494,< 2.2e-16,1 - 5,189.447285131682,0,0,0.288
500,149716.231507494,< 2.2e-16,1 - 6,22.6867586491062,6.05379434390488e-114,3.02689717195244e-113,0.365
500,149716.231507494,< 2.2e-16,2 - 3,98.513522863323,0,0,0.073
500,149716.231507494,< 2.2e-16,2 - 4,236.602701713875,0,0,0.141
500,149716.231507494,< 2.2e-16,2 - 5,170.587568317408,0,0,0.258
500,149716.231507494,< 2.2e-16,2 - 6,21.2936961631618,1.29870200042859e-100,5.19480800171436e-100,0.335
500,149716.231507494,< 2.2e-16,3 - 4,111.657896316488,0,0,0.068
500,149716.231507494,< 2.2e-16,3 - 5,127.350759033917,0,0,0.185
500,149716.231507494,< 2.2e-16,3 - 6,17.3620850769333,1.59812592116672e-67,4.79437776350017e-67,0.262
500,149716.231507494,< 2.2e-16,4 - 5,88.438323802244,0,0,0.117
500,149716.231507494,< 2.2e-16,4 - 6,13.4904475079306,1.78016739894182e-41,3.56033479788365e-41,0.194
500,149716.231507494,< 2.2e-16,5 - 6,5.45294728396104,4.95417593773052e-08,4.95417593773052e-08,0.077
