taxID,sciName,HGNC_Symbol,gene_in_dataset
9606,Homo sapiens,NR1H4,TRUE
9606,Homo sapiens,ELOVL5,TRUE
9606,Homo sapiens,MAP4K5,TRUE
9606,Homo sapiens,PSMC4,TRUE
9606,Homo sapiens,CLDN11,TRUE
9606,Homo sapiens,SLC25A39,TRUE
9606,Homo sapiens,MVP,TRUE
9606,Homo sapiens,NUB1,TRUE
9606,Homo sapiens,PGM3,TRUE
9606,Homo sapiens,CLK1,TRUE
9606,Homo sapiens,POLR3B,TRUE
9606,Homo sapiens,RNF14,TRUE
9606,Homo sapiens,DNASE1L1,TRUE
9606,Homo sapiens,DDX11,TRUE
9606,Homo sapiens,HEBP1,TRUE
9606,Homo sapiens,MAMLD1,TRUE
9606,Homo sapiens,TACC3,TRUE
9606,Homo sapiens,UFL1,TRUE
9606,Homo sapiens,POLA2,TRUE
9606,Homo sapiens,ZC3H3,TRUE
9606,Homo sapiens,ACP3,TRUE
9606,Homo sapiens,MDH1,TRUE
9606,Homo sapiens,SLC30A9,TRUE
9606,Homo sapiens,COX15,TRUE
9606,Homo sapiens,YAF2,TRUE
9606,Homo sapiens,BID,TRUE
9606,Homo sapiens,MATR3,TRUE
9606,Homo sapiens,XYLT2,TRUE
9606,Homo sapiens,RGPD5,TRUE
9606,Homo sapiens,NUDCD3,TRUE
9606,Homo sapiens,IGF1,TRUE
9606,Homo sapiens,SLC38A5,TRUE
9606,Homo sapiens,RALBP1,TRUE
9606,Homo sapiens,CNTN1,TRUE
9606,Homo sapiens,SLC11A1,TRUE
9606,Homo sapiens,WWTR1,TRUE
9606,Homo sapiens,AGPS,TRUE
9606,Homo sapiens,STEEP1,TRUE
9606,Homo sapiens,ATP1A2,TRUE
9606,Homo sapiens,TTC27,TRUE
9606,Homo sapiens,PHLDB1,TRUE
9606,Homo sapiens,MARCO,TRUE
9606,Homo sapiens,HGF,TRUE
9606,Homo sapiens,ZRANB1,TRUE
9606,Homo sapiens,MNAT1,TRUE
9606,Homo sapiens,MRE11,TRUE
9606,Homo sapiens,PLEKHB1,TRUE
9606,Homo sapiens,CYP3A43,TRUE
9606,Homo sapiens,SPAST,TRUE
9606,Homo sapiens,OSBPL5,TRUE
9606,Homo sapiens,AQR,TRUE
9606,Homo sapiens,RTF2,TRUE
9606,Homo sapiens,RNH1,TRUE
9606,Homo sapiens,NDUFS1,TRUE
9606,Homo sapiens,RB1CC1,TRUE
9606,Homo sapiens,ERP44,TRUE
9606,Homo sapiens,ALAS1,TRUE
9606,Homo sapiens,BIRC3,TRUE
9606,Homo sapiens,AKAP11,TRUE
9606,Homo sapiens,GLRX2,TRUE
9606,Homo sapiens,SNAPC1,TRUE
9606,Homo sapiens,STRAP,TRUE
9606,Homo sapiens,ABCC2,TRUE
9606,Homo sapiens,EHD2,TRUE
9606,Homo sapiens,DEPDC1,TRUE
9606,Homo sapiens,PHF20,TRUE
9606,Homo sapiens,NR1H3,TRUE
9606,Homo sapiens,TYMP,TRUE
9606,Homo sapiens,NCAPH2,TRUE
9606,Homo sapiens,SEC63,TRUE
9606,Homo sapiens,KPNA6,TRUE
9606,Homo sapiens,VIM,TRUE
9606,Homo sapiens,CD44,TRUE
9606,Homo sapiens,MIPEP,TRUE
9606,Homo sapiens,PRKCH,TRUE
9606,Homo sapiens,B4GALT7,TRUE
9606,Homo sapiens,VRK2,TRUE
9606,Homo sapiens,TNFRSF1B,TRUE
9606,Homo sapiens,VEZT,TRUE
9606,Homo sapiens,POU2F2,TRUE
9606,Homo sapiens,BRD9,TRUE
9606,Homo sapiens,BCLAF1,TRUE
9606,Homo sapiens,SLC39A9,TRUE
9606,Homo sapiens,IBSP,TRUE
9606,Homo sapiens,TFB1M,TRUE
9606,Homo sapiens,NUP160,TRUE
9606,Homo sapiens,BAK1,TRUE
9606,Homo sapiens,MUSK,TRUE
9606,Homo sapiens,IKZF2,TRUE
9606,Homo sapiens,GRN,TRUE
9606,Homo sapiens,FAM13B,TRUE
9606,Homo sapiens,CENPQ,TRUE
9606,Homo sapiens,SARS1,TRUE
9606,Homo sapiens,RANBP3,TRUE
9606,Homo sapiens,EIPR1,TRUE
9606,Homo sapiens,ALG1,TRUE
9606,Homo sapiens,ABCF2,TRUE
9606,Homo sapiens,FUT8,TRUE
9606,Homo sapiens,UBA6,TRUE
9606,Homo sapiens,GAB2,TRUE
9606,Homo sapiens,PIAS1,TRUE
9606,Homo sapiens,SLC4A7,TRUE
9606,Homo sapiens,MAP2K3,TRUE
9606,Homo sapiens,RNF19A,TRUE
9606,Homo sapiens,PEX3,TRUE
9606,Homo sapiens,VCL,TRUE
9606,Homo sapiens,DEPDC1B,TRUE
9606,Homo sapiens,ADSS2,TRUE
9606,Homo sapiens,TIMP2,TRUE
9606,Homo sapiens,RFC1,TRUE
9606,Homo sapiens,CUL3,TRUE
9606,Homo sapiens,ZZZ3,TRUE
9606,Homo sapiens,CASR,TRUE
9606,Homo sapiens,METTL1,TRUE
9606,Homo sapiens,PI4K2B,TRUE
9606,Homo sapiens,BOD1L1,TRUE
9606,Homo sapiens,EDC4,TRUE
9606,Homo sapiens,TRIO,TRUE
9606,Homo sapiens,CDH1,TRUE
9606,Homo sapiens,MTREX,TRUE
9606,Homo sapiens,ZFYVE16,TRUE
9606,Homo sapiens,C6,TRUE
9606,Homo sapiens,PNKP,TRUE
9606,Homo sapiens,SPDL1,TRUE
9606,Homo sapiens,STAU2,TRUE
9606,Homo sapiens,SLC66A1,TRUE
9606,Homo sapiens,CTNS,TRUE
9606,Homo sapiens,RTN4R,TRUE
9606,Homo sapiens,PHF23,TRUE
9606,Homo sapiens,PSMA4,TRUE
9606,Homo sapiens,LSG1,TRUE
9606,Homo sapiens,TNC,TRUE
9606,Homo sapiens,RIPOR3,TRUE
9606,Homo sapiens,TDP1,TRUE
9606,Homo sapiens,AIFM2,TRUE
9606,Homo sapiens,SPATA7,TRUE
9606,Homo sapiens,MED17,TRUE
9606,Homo sapiens,AP2S1,TRUE
9606,Homo sapiens,ZPBP,TRUE
9606,Homo sapiens,JADE2,TRUE
9606,Homo sapiens,TRIT1,TRUE
9606,Homo sapiens,CTNNA1,TRUE
9606,Homo sapiens,PHKA2,TRUE
9606,Homo sapiens,EPHA3,TRUE
9606,Homo sapiens,HSPA5,TRUE
9606,Homo sapiens,DSG2,TRUE
9606,Homo sapiens,GEMIN8,TRUE
9606,Homo sapiens,OFD1,TRUE
9606,Homo sapiens,WDR37,TRUE
9606,Homo sapiens,ATP6V1H,TRUE
9606,Homo sapiens,POLR2B,TRUE
9606,Homo sapiens,TPR,TRUE
9606,Homo sapiens,MAP4,TRUE
9606,Homo sapiens,GOPC,TRUE
9606,Homo sapiens,ROS1,TRUE
9606,Homo sapiens,USP28,TRUE
9606,Homo sapiens,HDAC9,TRUE
9606,Homo sapiens,NOP16,TRUE
9606,Homo sapiens,RRM2B,TRUE
9606,Homo sapiens,TNFRSF17,TRUE
9606,Homo sapiens,LMO3,TRUE
9606,Homo sapiens,MRPS10,TRUE
9606,Homo sapiens,GUCA1A,TRUE
9606,Homo sapiens,VPS13D,TRUE
9606,Homo sapiens,FAM120A,TRUE
9606,Homo sapiens,TNFRSF9,TRUE
9606,Homo sapiens,EPN3,TRUE
9606,Homo sapiens,RCN1,TRUE
9606,Homo sapiens,ELN,TRUE
9606,Homo sapiens,RFC2,TRUE
9606,Homo sapiens,ARID1B,TRUE
9606,Homo sapiens,NEDD4L,TRUE
9606,Homo sapiens,DKK3,TRUE
9606,Homo sapiens,MCUR1,TRUE
9606,Homo sapiens,LIMA1,TRUE
9606,Homo sapiens,LAMC3,TRUE
9606,Homo sapiens,MAPK9,TRUE
9606,Homo sapiens,BCAR1,TRUE
9606,Homo sapiens,FHIP1B,TRUE
9606,Homo sapiens,RAD51,TRUE
9606,Homo sapiens,POLQ,TRUE
9606,Homo sapiens,PIK3CB,TRUE
9606,Homo sapiens,THOC3,TRUE
9606,Homo sapiens,HEBP2,TRUE
9606,Homo sapiens,SIKE1,TRUE
9606,Homo sapiens,RRP12,TRUE
9606,Homo sapiens,MSMO1,TRUE
9606,Homo sapiens,FOXN3,TRUE
9606,Homo sapiens,MRTO4,TRUE
9606,Homo sapiens,USE1,TRUE
9606,Homo sapiens,ANAPC4,TRUE
9606,Homo sapiens,TRAPPC3,TRUE
9606,Homo sapiens,THRAP3,TRUE
9606,Homo sapiens,ARID4B,TRUE
9606,Homo sapiens,SDCCAG8,TRUE
9606,Homo sapiens,PTPRN,TRUE
9606,Homo sapiens,PLEKHH1,TRUE
9606,Homo sapiens,ATP9A,TRUE
9606,Homo sapiens,CBLN4,TRUE
9606,Homo sapiens,RELT,TRUE
9606,Homo sapiens,GALC,TRUE
9606,Homo sapiens,NOP58,TRUE
9606,Homo sapiens,SZRD1,TRUE
9606,Homo sapiens,CUL1,TRUE
9606,Homo sapiens,EIF2AK2,TRUE
9606,Homo sapiens,USP36,TRUE
9606,Homo sapiens,KMT2C,TRUE
9606,Homo sapiens,PUM2,TRUE
9606,Homo sapiens,MRPL43,TRUE
9606,Homo sapiens,ZFR,TRUE
9606,Homo sapiens,PHF21B,TRUE
9606,Homo sapiens,DCBLD2,TRUE
9606,Homo sapiens,MSH4,TRUE
9606,Homo sapiens,GDI2,TRUE
9606,Homo sapiens,ATG5,TRUE
9606,Homo sapiens,MTA3,TRUE
9606,Homo sapiens,SEC61A1,TRUE
9606,Homo sapiens,PPP1R12A,TRUE
9606,Homo sapiens,CROCC,TRUE
9606,Homo sapiens,POLR3E,TRUE
9606,Homo sapiens,ZC3H11A,TRUE
9606,Homo sapiens,RIOK2,TRUE
9606,Homo sapiens,NDC1,TRUE
9606,Homo sapiens,DGKG,TRUE
9606,Homo sapiens,FLYWCH1,TRUE
9606,Homo sapiens,UNKL,TRUE
9606,Homo sapiens,PARP12,TRUE
9606,Homo sapiens,ALDH18A1,TRUE
9606,Homo sapiens,GATB,TRUE
9606,Homo sapiens,MXD1,TRUE
9606,Homo sapiens,CDK17,TRUE
9606,Homo sapiens,SLC2A3,TRUE
9606,Homo sapiens,CTDP1,TRUE
9606,Homo sapiens,YBX3,TRUE
9606,Homo sapiens,WNK1,TRUE
9606,Homo sapiens,CCAR1,TRUE
9606,Homo sapiens,OGFR,TRUE
9606,Homo sapiens,PIGV,TRUE
9606,Homo sapiens,SNRNP40,TRUE
9606,Homo sapiens,COL11A1,TRUE
9606,Homo sapiens,ACAA1,TRUE
9606,Homo sapiens,BCAT1,TRUE
9606,Homo sapiens,HDAC7,TRUE
9606,Homo sapiens,SPAG4,TRUE
9606,Homo sapiens,NCKAP1,TRUE
9606,Homo sapiens,MRPS35,TRUE
9606,Homo sapiens,SFSWAP,TRUE
9606,Homo sapiens,MON2,TRUE
9606,Homo sapiens,CDH3,TRUE
9606,Homo sapiens,GPBP1,TRUE
9606,Homo sapiens,ZNF112,TRUE
9606,Homo sapiens,CS,TRUE
9606,Homo sapiens,LTK,TRUE
9606,Homo sapiens,MRPS24,TRUE
9606,Homo sapiens,ELMO2,TRUE
9606,Homo sapiens,WAPL,TRUE
9606,Homo sapiens,VMP1,TRUE
9606,Homo sapiens,APPBP2,TRUE
